mean_rota_choice_quantity,mean_amount_of_hours,mean_difference_in_rotas,local_fitness,control
1.75,57.5,13.357142857142858,0.5892857142857143,False
1.0,52.0,2.0,0.8571428571428571,False
2.2,63.6,6.2,0.4571428571428572,False
3.0,52.0,,0.7142857142857143,False
2.0,61.5,13.0,0.5,False
1.5,61.75,9.5,0.4642857142857143,False
3.5,55.0,20.0,0.5714285714285714,False
4.0,65.0,2.0,0.42857142857142855,False
3.0,61.5,13.0,0.42857142857142855,False
3.6666666666666665,56.333333333333336,12.666666666666666,0.7142857142857143,False
4.0,52.0,12.0,0.8571428571428571,False
2.5,61.5,13.0,0.5,False
1.0,65.0,,0.42857142857142855,False
3.0,61.5,13.0,0.42857142857142855,False
3.5,65.0,4.0,0.35714285714285715,False
3.0,65.0,,0.42857142857142855,False
3.0,65.0,,0.42857142857142855,False
2.5,65.0,4.0,0.35714285714285715,False
3.0,65.0,3.3333333333333335,0.38095238095238093,False
1.4,62.4,7.8,0.4571428571428572,False
2.5,65.0,4.0,0.35714285714285715,False
2.6666666666666665,58.333333333333336,14.666666666666666,0.5238095238095238,False
3.0,52.0,,0.7142857142857143,False
3.0,61.142857142857146,12.0,0.42857142857142855,False
3.0,58.0,,0.8571428571428571,False
2.0,58.5,17.0,0.5714285714285714,False
4.0,65.0,,0.5714285714285714,False
3.0,60.666666666666664,13.333333333333334,0.4761904761904762,False
4.0,65.0,,0.42857142857142855,False
2.0,65.0,4.666666666666667,0.3333333333333333,False
3.25,56.75,17.166666666666668,0.5,False
2.0,60.666666666666664,12.0,0.5238095238095238,False
3.0,58.0,,0.8571428571428571,False
2.75,60.0,11.333333333333334,0.5714285714285714,False
3.75,56.75,17.833333333333332,0.5714285714285714,False
2.0,58.5,15.0,0.5714285714285714,False
1.5,65.0,4.0,0.42857142857142855,False
3.0,58.333333333333336,16.666666666666668,0.4761904761904762,False
3.6666666666666665,58.333333333333336,12.666666666666666,0.6666666666666666,False
2.8,62.4,7.2,0.4857142857142857,False
3.6666666666666665,62.666666666666664,10.666666666666666,0.3333333333333333,False
3.0,65.0,,0.42857142857142855,False
2.0,55.0,20.0,0.7142857142857143,False
4.0,65.0,,0.42857142857142855,False
3.3333333333333335,60.666666666666664,12.0,0.5238095238095238,False
2.75,63.25,6.833333333333333,0.42857142857142855,False
4.0,58.5,17.0,0.5714285714285714,False
1.0,52.0,,0.8571428571428571,False
2.5,61.5,13.0,0.5,False
3.5,65.0,0.0,0.42857142857142855,False
2.0,65.0,,0.2857142857142857,False
2.3333333333333335,60.666666666666664,12.666666666666666,0.4761904761904762,False
2.0,65.0,,0.42857142857142855,False
3.0,62.666666666666664,8.0,0.5238095238095238,False
2.5,58.5,15.0,0.6428571428571429,False
3.0,65.0,2.0,0.38095238095238093,False
2.6666666666666665,65.0,1.3333333333333333,0.42857142857142855,False
1.75,58.25,14.5,0.5714285714285714,False
2.6666666666666665,60.666666666666664,12.0,0.47619047619047616,False
2.25,61.75,8.833333333333334,0.4642857142857143,False
2.6,62.4,8.0,0.4571428571428572,False
1.6666666666666667,58.333333333333336,17.333333333333332,0.4761904761904762,False
2.75,61.75,8.5,0.5,False
2.3333333333333335,60.666666666666664,10.0,0.5714285714285714,False
2.5,65.0,4.0,0.42857142857142855,False
1.0,52.0,,0.8571428571428571,False
3.6666666666666665,60.666666666666664,10.0,0.47619047619047616,False
4.0,65.0,2.0,0.35714285714285715,False
3.0,52.0,,0.8571428571428571,False
4.0,61.5,13.0,0.5,False
3.0,52.0,,0.7142857142857143,False
2.5,53.5,19.666666666666668,0.6071428571428571,False
3.5,58.5,15.0,0.6428571428571429,False
1.0,65.0,,0.5714285714285714,False
3.6666666666666665,58.333333333333336,17.333333333333332,0.4761904761904762,False
4.0,54.0,9.333333333333334,0.8095238095238095,False
4.0,65.0,,0.5714285714285714,False
3.0,58.5,12.333333333333334,0.6428571428571429,False
4.0,58.0,,0.8571428571428571,False
2.0,58.5,15.0,0.5714285714285714,False
3.5,61.5,19.0,0.5,False
3.0,65.0,,0.5714285714285714,False
2.0,58.5,15.0,0.5,False
1.0,65.0,,0.42857142857142855,False
3.5,52.0,2.0,0.8571428571428571,False
3.0,56.0,16.666666666666668,0.6666666666666666,False
3.5,65.0,4.0,0.35714285714285715,False
3.1666666666666665,60.5,13.266666666666667,0.4523809523809524,False
3.5,52.0,12.0,0.8571428571428571,False
3.5,52.0,6.0,0.7857142857142857,False
2.6666666666666665,58.333333333333336,16.0,0.42857142857142855,False
3.0,55.0,22.0,0.6428571428571429,False
2.0,61.5,13.0,0.5,False
3.3333333333333335,58.333333333333336,16.666666666666668,0.5238095238095238,False
3.6666666666666665,62.666666666666664,7.333333333333333,0.42857142857142855,False
3.5,65.0,4.0,0.35714285714285715,False
3.0,61.75,9.833333333333334,0.4642857142857143,False
3.5,65.0,6.0,0.35714285714285715,False
2.5,61.5,11.0,0.5714285714285714,False
1.5,61.75,7.5,0.5357142857142857,False
4.0,65.0,,0.2857142857142857,False
4.0,65.0,,0.5714285714285714,False
4.0,65.0,,0.42857142857142855,False
3.0,58.0,,0.7142857142857143,False
3.6666666666666665,58.333333333333336,15.333333333333334,0.5714285714285714,False
