value_avg,control
0.4666666666666667,True
0.4666666666666667,True
0.4666666666666667,True
0.3333333333333333,True
0.6666666666666666,True
0.5333333333333333,True
0.6666666666666666,True
0.4,True
0.5333333333333333,True
0.4666666666666667,True
0.6666666666666666,True
0.6666666666666666,True
0.6,True
0.6666666666666666,True
0.5333333333333333,True
0.4666666666666667,True
0.26666666666666666,True
0.4,True
0.4666666666666667,True
0.5333333333333333,True
0.4666666666666667,True
0.3333333333333333,True
0.4666666666666667,True
0.6666666666666666,True
0.5333333333333333,True
0.3333333333333333,True
0.6666666666666666,True
0.5333333333333333,True
0.6666666666666666,True
0.4,True
0.4,True
0.6,True
0.4,True
0.6,True
0.13333333333333333,True
0.2,True
0.4666666666666667,True
0.5333333333333333,True
0.4666666666666667,True
0.6,True
0.4666666666666667,True
0.8,True
0.5333333333333333,True
0.5333333333333333,True
0.4,True
0.4666666666666667,True
0.4666666666666667,True
0.5333333333333333,True
0.4666666666666667,True
0.6,True
0.6,True
0.5333333333333333,True
0.3333333333333333,True
0.6,True
0.4666666666666667,True
0.6666666666666666,True
0.6,True
0.4666666666666667,True
0.6,True
0.6,True
0.6666666666666666,True
0.4666666666666667,True
0.4,True
0.4,True
0.26666666666666666,True
0.4,True
0.4,True
0.4666666666666667,True
0.7333333333333333,True
0.8,True
0.6,True
0.4666666666666667,True
0.5333333333333333,True
0.26666666666666666,True
0.4666666666666667,True
0.5333333333333333,True
0.4666666666666667,True
0.6,True
0.4666666666666667,True
0.4666666666666667,True
0.6,True
0.3333333333333333,True
0.6,True
0.4666666666666667,True
0.6666666666666666,True
0.3333333333333333,True
0.6666666666666666,True
0.4666666666666667,True
0.4666666666666667,True
0.26666666666666666,True
0.4666666666666667,True
0.2,True
0.6,True
0.5333333333333333,True
0.6666666666666666,True
0.5333333333333333,True
0.5333333333333333,True
0.6,True
0.4666666666666667,True
0.4666666666666667,True
0.4,True
0.4,True
0.3333333333333333,True
0.4,True
0.5333333333333333,True
0.7333333333333333,True
0.4,True
0.4,True
0.6666666666666666,True
0.3333333333333333,True
0.4666666666666667,True
0.4666666666666667,True
0.5333333333333333,True
0.3333333333333333,True
0.2,True
0.4666666666666667,True
0.6,True
0.5333333333333333,True
0.4,True
0.5333333333333333,True
