Simplicity,Mean Fitness,Atomicity
109.0,-372.508887687353,0.0255494626358204
109.0,-372.508887687353,0.0255494626358204
109.0,-372.5153990392694,0.028805493028091385
109.0,-372.5153990392694,0.028805493028091385
109.0,-372.54555643927574,0.030481551962461745
109.0,-372.54555643927574,0.030481551962461745
109.0,-372.5539862667495,0.033294561411315975
109.0,-372.5649373767165,0.04870399197716617
109.0,-372.5649373767165,0.04870399197716617
109.0,-372.63265772606417,0.05384309711935056
109.0,-372.63265772606417,0.05384309711935056
109.0,-372.63390261826316,0.05471673126677775
109.0,-372.63390261826316,0.05471673126677775
109.0,-372.67254020924355,0.06021592432756499
109.0,-372.67254020924355,0.06021592432756499
108.0,-372.21149657175266,-0.00105076099295129
108.0,-372.21149657175266,-0.00105076099295129
108.0,-372.2136564287448,-0.00031675203460840014
108.0,-372.27505943918356,-0.00010954813269759441
108.0,-372.27505943918356,-0.00010954813269759441
108.0,-372.2953510121889,0.00013011937179947737
108.0,-372.2953510121889,0.00013011937179947737
108.0,-372.2991617014573,0.00045503336688436315
108.0,-372.2991617014573,0.00045503336688436315
108.0,-372.30904745992,0.0009326574233492098
108.0,-372.30904745992,0.0009326574233492098
108.0,-372.31379424462,0.0011395160939164644
108.0,-372.31379424462,0.0011395160939164644
108.0,-372.31817647835766,0.001898671617776109
108.0,-372.31817647835766,0.001898671617776109
108.0,-372.3197926464754,0.0029418980060172124
108.0,-372.3197926464754,0.0029418980060172124
108.0,-372.3217730046891,0.004577766365968106
108.0,-372.3217730046891,0.004577766365968106
108.0,-372.3327236361729,0.005295382831667574
108.0,-372.3424737790422,0.010232467712172623
108.0,-372.3424737790422,0.010232467712172623
108.0,-372.3432656025436,0.01148083171192166
108.0,-372.3432656025436,0.01148083171192166
108.0,-372.35863615117415,0.013891097227587346
108.0,-372.35863615117415,0.013891097227587346
108.0,-372.37686041299685,0.01468918421238554
108.0,-372.3780707507464,0.01856505397542255
108.0,-372.3780707507464,0.01856505397542255
108.0,-372.40872029838584,0.018689435802401972
108.0,-372.40872029838584,0.018689435802401972
108.0,-372.40998002403,0.019283660543872434
108.0,-372.40998002403,0.019283660543872434
108.0,-372.41870310519556,0.024260236421715473
108.0,-372.43571347575426,0.026670912055318654
108.0,-372.43571347575426,0.026670912055318654
108.0,-372.46648602673497,0.035576458936074265
108.0,-372.46648602673497,0.035576458936074265
108.0,-372.51820843511643,0.037847284278166714
108.0,-372.51820843511643,0.037847284278166714
108.0,-372.52563308693834,0.048524655778338074
108.0,-372.631346748048,0.05045870491324417
108.0,-372.631346748048,0.05045870491324417
107.0,-372.2103408922868,-0.0008490442656061204
107.0,-372.2103408922868,-0.0008490442656061204
107.0,-372.21149657175266,-0.0005821832257796049
107.0,-372.2136564287448,-0.0002010787031565548
107.0,-372.2136564287448,-0.0002010787031565548
107.0,-372.2420043492564,0.000343891373094727
107.0,-372.2420043492564,0.000343891373094727
107.0,-372.248780223174,0.000659074882015702
107.0,-372.248780223174,0.000659074882015702
107.0,-372.2723180115463,0.0015290729552085366
107.0,-372.2723180115463,0.0015290729552085366
107.0,-372.27505943918356,0.0016100740615936071
107.0,-372.27505943918356,0.0016100740615936071
107.0,-372.2811133978426,0.0021461791403957074
107.0,-372.2811133978426,0.0021461791403957074
107.0,-372.29542797626095,0.0035250001012739757
107.0,-372.29542797626095,0.0035250001012739757
107.0,-372.30094805022117,0.0068223897277289785
107.0,-372.30094805022117,0.0068223897277289785
107.0,-372.3166993878286,0.009557686184871572
107.0,-372.3166993878286,0.009557686184871572
107.0,-372.33101108319073,0.012654137342750199
107.0,-372.33101108319073,0.012654137342750199
107.0,-372.3353825089406,0.013403733258973248
107.0,-372.3353825089406,0.013403733258973248
107.0,-372.34405350052623,0.013469499618158572
107.0,-372.34405350052623,0.013469499618158572
