size,q_shared_skills,hamming_avg,workcount_range,skill_q_range,skill_variation,control
3,0,2.0,0,3,1.0,True
2,2,2.0,0,1,0.7777777777777778,True
6,0,13.4,13,2,0.9,True
6,0,5.4,7,3,0.7692307692307693,True
5,0,13.2,13,3,0.6666666666666666,True
5,0,7.4,13,3,0.6153846153846154,True
6,0,12.533333333333333,13,4,0.625,True
6,0,10.066666666666666,13,2,0.5,True
2,3,19.0,13,1,0.6666666666666666,True
6,0,6.466666666666667,13,4,0.6363636363636364,True
3,0,14.0,13,2,0.8333333333333334,True
5,0,13.0,13,4,0.4,True
2,0,9.0,7,3,1.0,True
4,0,9.833333333333334,13,2,0.7272727272727273,True
6,0,10.266666666666667,13,4,0.6842105263157895,True
2,0,15.0,13,3,1.0,True
3,0,8.0,7,2,0.8888888888888888,True
3,0,17.333333333333332,13,1,0.8571428571428571,True
3,0,17.333333333333332,13,3,0.8888888888888888,True
2,1,20.0,6,3,0.8,True
2,0,17.0,13,3,1.0,True
6,0,7.466666666666667,7,3,0.6666666666666666,True
5,0,10.4,13,4,0.7058823529411765,True
2,0,9.0,7,3,1.0,True
2,0,13.0,7,1,1.0,True
5,0,11.6,13,4,0.7692307692307693,True
4,0,12.333333333333334,13,4,0.7692307692307693,True
2,1,13.0,13,3,0.8571428571428571,True
4,0,12.166666666666666,13,2,0.6666666666666666,True
6,0,10.666666666666666,13,2,0.5,True
2,1,13.0,7,3,0.8571428571428571,True
5,0,14.6,13,4,0.5882352941176471,True
5,0,12.6,13,4,0.8461538461538461,True
4,0,12.333333333333334,13,3,1.0,True
6,0,13.133333333333333,13,4,0.6111111111111112,True
6,0,14.4,13,3,0.7058823529411765,True
6,0,15.6,13,3,0.5714285714285714,True
6,0,5.933333333333334,7,4,0.6666666666666666,True
6,0,12.466666666666667,13,3,0.6842105263157895,True
6,0,11.533333333333333,13,3,0.5238095238095238,True
4,0,13.0,13,3,0.6666666666666666,True
6,0,16.533333333333335,13,1,0.7692307692307693,True
3,0,18.666666666666668,13,3,0.9166666666666666,True
5,0,15.4,13,3,0.65,True
6,0,12.533333333333333,13,4,0.75,True
3,0,11.333333333333334,13,1,0.8,True
5,0,7.2,13,2,0.7,True
6,0,11.266666666666667,13,3,0.6153846153846154,True
5,0,5.6,7,2,0.6923076923076923,True
5,0,12.6,13,3,0.8571428571428571,True
2,0,17.0,13,3,1.0,True
2,1,16.0,6,2,0.75,True
5,0,9.2,13,4,0.8,True
3,0,8.666666666666666,7,2,0.6,True
6,0,16.466666666666665,13,3,0.45,True
3,1,0.0,0,3,0.625,True
3,0,1.3333333333333333,0,1,0.8571428571428571,True
4,0,12.666666666666666,13,3,0.7142857142857143,True
5,0,11.0,13,2,0.7777777777777778,True
2,0,4.0,0,3,1.0,True
2,0,28.0,0,2,1.0,True
6,0,13.933333333333334,13,4,0.6875,True
2,0,9.0,7,4,1.0,True
2,3,8.0,0,0,0.625,True
6,0,15.466666666666667,13,4,0.4444444444444444,True
3,0,11.333333333333334,13,2,0.75,True
5,0,6.6,7,2,0.6190476190476191,True
2,0,2.0,0,2,1.0,True
5,0,11.8,13,4,0.7333333333333333,True
6,0,12.466666666666667,13,4,0.6470588235294118,True
4,0,13.833333333333334,13,2,0.6666666666666666,True
2,0,22.0,0,2,1.0,True
5,0,13.4,13,4,0.6666666666666666,True
2,0,20.0,6,4,1.0,True
